"","location","days.post.fert","Treatment","family","adj_Length","minimum","maximum","n","v","se","na.rm"
"50","Kup",25,"T2","K13",14.604996,13.7088,15.9726,10,0.39721978576,0.199303734475799,1
"51","Kup",25,"T2","K14",15.749685,15.05784,16.29516,8,0.1543318434,0.138893773888537,1
"52","Kup",25,"T2","K15",15.49464,15.1116,15.8508,5,0.120396528,0.155175080473638,1
"53","Kup",25,"T2","K16",14.673792,14.04732,15.57528,5,0.41971571712,0.289729431407995,1
"54","Kup",25,"T2","K2",15.789144,14.94192,16.62948,5,0.43211953008,0.293979431280489,1
"55","Kup",25,"T2","K3",15.017856,12.93432,16.54548,5,1.99530894528,0.631713375714018,1
"56","Kup",25,"T2","K4",15.210048,14.11872,16.21704,5,0.57767309712,0.339903838495537,1
"57","Kup",25,"T2","K5",15.391152,14.96628,16.02468,5,0.20320306272,0.201595169942139,1
"58","Kup",25,"T2","K6",15.63408,14.5656,16.19604,5,0.4451041224,0.298363577669929,1
"59","Kup",25,"T2","K7",15.898176,15.29976,16.24224,5,0.13285975248,0.163009050349973,1
"60","Kup",25,"T2","K8",15.691536,15.09228,16.54968,5,0.36493370928,0.270160585311773,1
"61","Kup",25,"T2","K9",15.337896,14.52276,16.233,5,0.47152482048,0.307091133209671,1
"62","Kup",25,"T3","K16",15.92376,15.07464,17.08056,7,0.564900403199999,0.284077555607619,1
"63","Kup",25,"T3","K2",15.63156,13.57944,17.23512,4,2.363764704,0.768726984045701,1
"64","Kup",25,"T3","K4",13.81044,12.89484,14.28588,6,0.24292058112,0.201213228988553,1
"65","Kup",25,"T3","K5",16.224936,14.86464,17.18556,5,0.81243793008,0.403097489468739,1
"66","Kup",25,"T3","K7",13.6418672727273,12.54624,14.63532,22,0.394847603563636,0.133968721512903,1
"67","Kup",25,"T3","K8",16.472736,14.87388,18.9084,5,3.24550407888,0.805667931455634,1
"68","Kup",30,"T1","K1",12.7683,10.772,13.753,10,0.795291122222222,0.282009064078129,1
"69","Kup",30,"T1","K11",12.2212,11.22,13.509,10,0.767520622222222,0.277041625432393,1
"70","Kup",30,"T1","K12",11.463,9.68,12.714,10,0.882976,0.297149120813103,1
"71","Kup",30,"T1","K13",12.8016,10.844,13.556,10,0.626618266666667,0.25032344410116,1
"72","Kup",30,"T1","K14",14.1012,11.902,15.409,10,0.951852177777779,0.308521016752146,1
"73","Kup",30,"T1","K16",12.3386,11.533,12.741,10,0.192824711111111,0.138861337711802,1
"74","Kup",30,"T1","K2",12.2605,11.39,12.593,10,0.144950722222222,0.120395482565677,1
"75","Kup",30,"T1","K3",12.9482,11.386,13.717,10,0.5045804,0.224628671366769,1
"76","Kup",30,"T1","K4",12.5641111111111,11.959,13.234,9,0.219828111111111,0.156286102002105,1
"77","Kup",30,"T1","K5",13.0723,12.154,13.723,10,0.211635788888889,0.145477073413266,1
"78","Kup",30,"T1","K6",12.048624,11.48112,12.4866,5,0.14496855408,0.170275396977954,1
"79","Kup",30,"T1","K7",13.179,12.622,13.911,10,0.236200666666667,0.153688212516987,1
"80","Kup",30,"T1","K8",13.0625,12.091,14.502,10,0.435148944444445,0.208602239787699,1
"81","Kup",30,"T2","K1",18.5908,15.866,20.258,10,1.64785862222222,0.405938249272253,1
"82","Kup",30,"T2","K10",17.346,15.459,19.34,9,1.4335925,0.399109077265295,1
"83","Kup",30,"T2","K11",17.0502,15.52,18.951,10,1.72297684444445,0.415087562382258,1
"84","Kup",30,"T2","K12",17.1994,15.504,19.31,10,1.34188715555556,0.366317779469623,1
"85","Kup",30,"T2","K13",17.1798,14.488,19.217,10,2.05197728888889,0.452987559309181,1
"86","Kup",30,"T2","K14",16.7851,15.231,18,10,0.5933041,0.243578344686058,1
"87","Kup",30,"T2","K15",18.2094,16.41,19.838,10,1.47172626666667,0.383630846865403,1
"88","Kup",30,"T2","K16",17.8579,15.644,19.661,10,1.87695632222222,0.433238539631716,1
"89","Kup",30,"T2","K2",17.1473333333333,15.778,19.056,9,1.063392,0.343736333061646,1
"90","Kup",30,"T2","K3",16.6905,15.546,18.648,10,0.882991388888889,0.297151710223732,1
"91","Kup",30,"T2","K6",15.792168,14.73192,17.09568,5,0.929091532320001,0.431066475690235,1
"92","Kup",30,"T2","K7",17.79466,15.2166,19.7103,10,1.84918088488889,0.43002103261223,1
"93","Kup",30,"T2","K8",17.7475,16.373,19.378,10,0.7575645,0.275238896233799,1
"94","Kup",30,"T2","K9",15.91,12.984,16.684,10,1.21767377777778,0.348951827302534,1
