"","Location","Family","reared_wild","TreatmentTank","CG_temp","Resp_temp","Run","Tank","Probe","Vr_ml","Va_ml","length_mm","Ma_g","num_per_resp","Comments.x","data_notebook_time","data_notebook_DO","qmbl_file_DO_number","qmbl_file","back_slope","back_slope_corr","slope1","corr_slope1","slope2","corr_slope2","slope3","corr_slope3","Comments.y","mean_slope","DO_Slope_mg_L_min","VO2"
"32","Sagavanirktok","O5","reared","T1","8","8","3","4","11",203.4,0.229,NA,0.229,4,NA,7.7,9.64,"DO2","R3_T4_P101112_08_06_2017",-0.004423,-0.9037,-0.01391,-0.9664,-0.01358,-0.9936,-0.009813,-0.9897,NA,-0.0124343333333333,-0.00801133333333333,0.426463913886463
"33","Sagavanirktok","O4","reared","T1","8","8","3","4","12",204.2,0.118,NA,0.118,4,NA,7.7,9.89,"DO1","R3_T4_P101112_08_06_2017",-0.004281,-0.9234,-0.008513,-0.9798,-0.01058,-0.9894,-0.006782,-0.9798,NA,-0.008625,-0.004344,0.450779088813559
"34","Sagavanirktok","O5","reared","T1","8","16","4","1","1",201.8,0.177,NA,0.177,4,NA,5.65,5.95,"DO3","R4_T1_P123_08_06_2017",-0.006803,-0.9811,-0.02468,-0.9959,-0.02096,-0.9975,-0.01859,-0.996,NA,-0.02141,-0.014607,0.998341410508475
"35","Sagavanirktok","O4","reared","T2","12","16","4","1","2",201.6,0.207,NA,0.207,1,NA,5.65,6.98,"DO2","R4_T1_P123_08_06_2017",-0.002583,-0.9377,-0.0139,-0.9827,-0.01363,-0.9905,-0.01448,-0.9925,NA,-0.0140033333333333,-0.0114203333333333,0.666659475652174
"36","Kuparuk","K9","reared","T1","8","16","4","1","3",199.2,0.151,NA,0.151,3,NA,5.65,7.26,"DO1","R4_T1_P123_08_06_2017",-0.004514,-0.9296,-0.01734,-0.9812,-0.01222,-0.9776,-0.01108,-0.9709,NA,-0.0135466666666667,-0.00903266666666667,0.714414543311258
"37","Sagavanirktok","O6","reared","T3","16","12","4","2","4",200,0.321,NA,0.321,1,NA,5.65,8.61,"DO2","R4_T2_P46_08_06_2017",-0.002431,-0.9132,-0.01999,-0.9968,-0.01673,-0.9983,-0.01512,-0.9973,NA,-0.01728,-0.014849,0.554211863738318
"38","Kuparuk","K5","reared","T3","16","12","4","2","6",203.6,0.301,NA,0.301,1,NA,5.65,8.5,"DO1","R4_T2_P46_08_06_2017",-0.002276,-0.8338,-0.00987,-0.9894,-0.00758,-0.9884,-0.004135,-0.9561,NA,-0.007195,-0.004919,0.199341085913621
"39","Kuparuk","K4","reared","T3","16","12","4","3","7",204,0.281,NA,0.281,1,NA,5.65,7.02,"DO1","R4_T3_P789_08_06_2017",-0.003334,-0.9264,-0.0162,-0.9862,-0.01559,-0.9961,-0.0124,-0.9968,NA,-0.01473,-0.011396,0.495711400142349
"40","Sagavanirktok","O6","reared","T3","16","12","4","3","8",204.2,0.297,NA,0.297,1,NA,5.65,8.11,"DO2","R4_T3_P789_08_06_2017",-0.002646,-0.741,-0.01561,-0.9923,-0.01331,-0.9949,-0.0113,-0.9928,NA,-0.0134066666666667,-0.0107606666666667,0.443259033400673
"41","Sagavanirktok","O6","reared","T1","8","12","4","3","9",202.8,0.175,NA,0.175,4,NA,5.65,8.73,"DO3","R4_T3_P789_08_06_2017",-0.006787,-0.9458,-0.01613,-0.9956,-0.01435,-0.9975,-0.01203,-0.9973,NA,-0.01417,-0.007383,0.512907557142857
"42","Sagavanirktok","O6","reared","T3","16","8","4","4","10",202.4,0.385,NA,0.385,1,NA,5.65,8.8,"DO3","R4_T4_P101112_08_06_2017",-0.002463,-0.8335,-0.01623,-0.9905,-0.01166,-0.9897,-0.01031,-0.99,NA,-0.0127333333333333,-0.0102703333333333,0.323339437142857
"43","Sagavanirktok","O2","reared","T3","16","8","4","4","11",203.4,0.548,NA,0.548,1,NA,5.65,8.43,"DO2","R4_T4_P101112_08_06_2017",-0.002362,-0.7901,-0.01908,-0.9884,-0.01348,-0.9878,-0.01268,-0.995,NA,-0.01508,-0.012718,0.282467708321168
"44","Kuparuk","K5","reared","T3","16","8","4","4","12",204.2,0.316,NA,0.316,1,NA,5.65,9.53,"DO1","R4_T4_P101112_08_06_2017",-0.003034,-0.9572,-0.01456,-0.975,-0.01093,-0.9805,-0.009169,-0.9849,NA,-0.011553,-0.008519,0.329788822025316
"45","Sagavanirktok","O4","reared","T2","12","16","5","1","1",201.8,0.254,NA,0.254,1,NA,4.85,8.96,"DO3","R5_T1_P123_08_07_2017",-0.005441,-0.8918,-0.01501,-0.9821,-0.009846,-0.9598,-0.01012,-0.9788,NA,-0.0116586666666667,-0.00621766666666667,0.296018703779528
"46","Kuparuk","K4","reared","T3","16","16","5","1","2",201.6,0.272,NA,0.272,1,NA,4.85,9.03,"DO2","R5_T1_P123_08_07_2017",-0.003779,-0.7593,-0.01479,-0.9912,-0.01101,-0.974,-0.008817,-0.9633,NA,-0.011539,-0.00776,0.344626164705882
"47","Sagavanirktok","O5","reared","T2","12","16","5","1","3",199.2,0.283,NA,0.283,1,NA,4.85,9.25,"DO1","R5_T1_P123_08_07_2017",-0.00211,-0.6882,-0.01202,-0.983,-0.01375,-0.9803,-0.01118,-0.9803,NA,-0.0123166666666667,-0.0102066666666667,0.430447953356891
"48","Sagavanirktok","O2","reared","T1","8","12","5","2","4",200,0.155,NA,0.109,4,NA,289.42,7.9,"DO1","R5_T2_P46_08_07_2017",-0.004503,-0.8648,-0.01238,-0.9252,-0.01066,-0.9913,-0.00739,-0.9905,NA,-0.0101433333333333,-0.00564033333333333,0.620472888990826
"49","Kuparuk","K3","reared","T1","8","12","5","2","6",203.6,0.615,NA,0.174,4,NA,289.42,8.49,"DO2","R5_T2_P46_08_07_2017",-0.002179,-0.3599,-0.01053,-0.9339,-0.008617,-0.9804,-0.004222,-0.9717,NA,-0.00778966666666667,-0.00561066666666667,0.392717645977011
"50","Sagavanirktok","O4","reared","T1","8","12","5","3","7",204,0.15,NA,0.15,4,NA,4.85,9.37,"DO3","R5_T3_P789_08_07_2017",-0.002083,-0.5385,-0.01212,-0.9363,-0.009959,-0.9925,-0.007825,-0.9957,NA,-0.009968,-0.007885,0.6429429
"51","Kuparuk","K8","reared","T1","8","12","5","3","8",204.2,0.176,NA,0.176,4,NA,4.85,9.97,"DO1","R5_T3_P789_08_07_2017",-0.004263,-0.796,-0.01688,-0.9607,-0.01262,-0.9901,-0.008409,-0.987,NA,-0.0126363333333333,-0.00837333333333333,0.582395781818182
"52","Sagavanirktok","O5","reared","T1","8","12","5","3","9",202.8,0.173,NA,0.173,3,NA,4.85,9.53,"DO2","R5_T3_P789_08_07_2017",-0.005174,-0.7763,-0.01141,-0.9528,-0.01139,-0.9941,-0.009105,-0.9933,NA,-0.010635,-0.005461,0.38377319549133
"53","Sagavanirktok","O2","reared","T3","16","8","5","4","10",202.4,0.338,NA,0.338,1,NA,4.85,9.25,"DO3","R5_T4_P101112_08_07_2017",-0.006735,-0.8974,-0.01082,-0.99,-0.009281,-0.987,-0.007283,-0.9562,NA,-0.009128,-0.002393,0.0858345028402367
"54","Kuparuk","K7","reared","T3","16","8","5","4","11",203.4,0.379,NA,0.379,1,NA,4.85,9.62,"DO2","R5_T4_P101112_08_07_2017",-0.006727,-0.9173,-0.01258,-0.978,-0.0093,-0.9668,-0.006748,-0.8771,NA,-0.00954266666666667,-0.00281566666666667,0.0904970125065963
"55","Kuparuk","K5","reared","T3","16","8","5","4","12",204.2,0.312,NA,0.312,1,NA,4.85,9.87,"DO1","R5_T4_P101112_08_07_2017",-0.008221,-0.9163,-0.009854,-0.9861,-0.007984,-0.9813,-0.006951,-0.9483,NA,-0.008263,-4.20000000000004e-05,0.00164678769230771
"56","Kuparuk","WK5","wild","T3","16","16","6","1","1",201.8,0.495,NA,0.495,1,NA,9.55,8.96,"DO3","R6_T1_P123_08_07_2017",-0.002537,-0.9289,-0.01856,-0.9911,-0.01645,-0.9937,-0.01456,-0.9973,NA,-0.0165233333333333,-0.0139863333333333,0.34127500989899
"57","Sagavanirktok","O6","reared","T2","12","16","6","1","2",201.6,0.166,NA,0.166,1,NA,9.55,9.03,"DO2","R6_T1_P123_08_07_2017",-0.001837,-0.8068,-0.009165,-0.9577,-0.006194,-0.9468,-0.005883,-0.9645,NA,-0.00708066666666667,-0.00524366666666667,0.381778102891566
"58","Sagavanirktok","O4","reared","T2","12","16","6","1","3",199.2,0.231,NA,0.231,1,NA,9.55,9.18,"DO1","R6_T1_P123_08_07_2017",-0.002849,-0.8902,-0.01568,-0.9781,-0.01232,-0.9814,-0.009203,-0.9803,NA,-0.012401,-0.009552,0.493649841038961
"59","Kuparuk","K10","reared","T1","8","8","6","2","4",200,0.2,NA,0.2,4,NA,9.55,9.25,"DO1","R6_T2_P46_08_07_2017",-0.003037,-0.7984,-0.00851,-0.9934,-0.006542,-0.9577,-0.006469,-0.9243,NA,-0.00717366666666667,-0.00413666666666667,0.2479518
"60","Kuparuk","K11","reared","T1","8","8","6","2","6",203.6,0.175,NA,0.175,4,NA,9.55,9.14,"DO2","R6_T2_P46_08_07_2017",-0.003383,-0.6222,-0.007817,-0.9821,-0.00642,-0.8992,-0.007592,-0.8593,NA,-0.00727633333333333,-0.00389333333333333,0.271543314285714
"61","Kuparuk","K15","reared","T2","12","8","6","3","7",204,0.201,NA,0.201,1,NA,9.55,9.25,"DO3","R6_T3_P789_08_07_2017",-0.003127,-0.7307,-0.008437,-0.9802,-0.008322,-0.9238,-0.007811,-0.9306,NA,-0.00819,-0.005063,0.308010249850746
