"","HG.checked","TreatmentTemp.C","TreatmentTank","Aquarium","Chamber.num","Location","Family","ID","Fertilization Date","Date","days.post.fert","FertilizationDate.hrs","Date.Time","days.hrs.post.fert","Initial.num.indiv(calc)","indiv.dead","fry.dead","eggs.dead","indiv.sampled","hatch.sampled","swim.sampled","dead.sampled","lost.fish","eyed","eye.sampled","%subsample.eyed","num.fry","% hatched","num.hatchlings","num.swimup","# eggs remaining","# organisms remaining","num.remaining (calc)","image.taken","Comments","General Notes","AP data recording notes"
"79","x",12,"T2","A4",15,"Kup","K15","K15_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,349,"yes",NA,NA,NA
"80","x",12,"T2","A4",16,"Kup","K16","K16_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,345,"yes",NA,NA,NA
"81","x",16,"T3","A1",1,"Kup","K01","K01_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,349,"yes",NA,NA,NA
"82","x",16,"T3","A1",2,"Kup","K02","K02_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,"no, image taken 6/15",NA,NA,NA
"83","x",16,"T3","A1",3,"Kup","K03","K03_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,"no, image taken 6/15",NA,NA,NA
"84","x",16,"T3","A1",4,"Kup","K04","K04_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,"yes",NA,NA,NA
"85","x",16,"T3","A2",5,"Kup","K05","K05_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,341,"yes",NA,NA,NA
"86","x",16,"T3","A2",6,"Kup","K06","K06_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,347,"yes",NA,NA,NA
"87","x",16,"T3","A2",7,"Kup","K07","K07_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,346,"yes",NA,NA,NA
"88","x",16,"T3","A2",8,"Kup","K08","K08_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,348,"yes",NA,NA,NA
"89","x",16,"T3","A3",9,"Kup","K09","K09_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,11,0,11,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,339,"yes",NA,NA,NA
"90","x",16,"T3","A3",10,"Kup","K10","K10_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,343,"yes",NA,NA,NA
"91","x",16,"T3","A3",11,"Kup","K11","K11_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,343,"yes",NA,NA,NA
"92","x",16,"T3","A3",12,"Kup","K12","K12_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,346,"yes",NA,NA,NA
"93","x",16,"T3","A4",13,"Kup","K13","K13_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,347,"yes",NA,NA,NA
"94","x",16,"T3","A4",14,"Kup","K14","K14_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,347,"yes",NA,NA,NA
"95","x",16,"T3","A4",15,"Kup","K15","K15_16",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,"yes",NA,NA,NA
