TreatmentTemp.C,TreatmentTank,Aquarium,Chamber.num,Location,Family,ID,Fertilization.Date,Date,days.post.fert,Initial.num.indiv.calc.,num.remaining..calc.
12,T2,A1,4,Oks 3,O4,T2-A1-O4,6/14/17,6/18/17,4,346,285
12,T2,A2,5,Oks 3,O5,T2-A2-O5,6/14/17,6/18/17,4,70,70
12,T2,A2,6,Oks 3,O6,T2-A2-O6,6/14/17,6/18/17,4,327,327
16,T3,A1,1,Oks 3,O1,T3-A1-O1,6/14/17,6/18/17,4,321,307
16,T3,A1,2,Oks 3,O2,T3-A1-O2,6/14/17,6/18/17,4,330,317
16,T3,A1,4,Oks 3,O4,T3-A1-O4,6/14/17,6/18/17,4,284,225
16,T3,A2,6,Oks 3,O6,T3-A2-O6,6/14/17,6/18/17,4,290,287
8,T1,A1,1,Kup,K01,T1-A1-K01,6/13/17,6/23/17,10,334,322
8,T1,A1,2,Kup,K02,T1-A1-K02,6/13/17,6/23/17,10,328,318
8,T1,A1,3,Kup,K03,T1-A1-K03,6/13/17,6/23/17,10,340,330
8,T1,A1,4,Kup,K04,T1-A1-K04,6/13/17,6/23/17,10,334,323
8,T1,A2,5,Kup,K05,T1-A2-K05,6/13/17,6/23/17,10,337,331
8,T1,A2,6,Kup,K06,T1-A2-K06,6/13/17,6/23/17,10,66,57
8,T1,A2,7,Kup,K07,T1-A2-K07,6/13/17,6/23/17,10,341,331
8,T1,A2,8,Kup,K08,T1-A2-K08,6/13/17,6/23/17,10,342,332
8,T1,A3,9,Kup,K09,T1-A3-K09,6/13/17,6/23/17,10,342,331
8,T1,A3,10,Kup,K10,T1-A3-K10,6/13/17,6/23/17,10,328,318
8,T1,A3,11,Kup,K11,T1-A3-K11,6/13/17,6/23/17,10,337,326
8,T1,A3,12,Kup,K12,T1-A3-K12,6/13/17,6/23/17,10,332,321
8,T1,A4,13,Kup,K13,T1-A4-K13,6/13/17,6/23/17,10,329,319
8,T1,A4,14,Kup,K14,T1-A4-K14,6/13/17,6/23/17,10,334,323
8,T1,A4,15,Kup,K15,T1-A4-K15,6/13/17,6/23/17,10,345,335
8,T1,A4,16,Kup,K16,T1-A4-K16,6/13/17,6/23/17,10,336,326
12,T2,A1,1,Kup,K01,T2-A1-K01,6/13/17,6/23/17,10,329,317
12,T2,A1,2,Kup,K02,T2-A1-K02,6/13/17,6/23/17,10,322,306
12,T2,A1,3,Kup,K03,T2-A1-K03,6/13/17,6/23/17,10,335,325
12,T2,A1,4,Kup,K04,T2-A1-K04,6/13/17,6/23/17,10,319,308
12,T2,A2,5,Kup,K05,T2-A2-K05,6/13/17,6/23/17,10,306,296
12,T2,A2,6,Kup,K06,T2-A2-K06,6/13/17,6/23/17,10,109,101
12,T2,A2,7,Kup,K07,T2-A2-K07,6/13/17,6/23/17,10,335,325
12,T2,A2,8,Kup,K08,T2-A2-K08,6/13/17,6/23/17,10,335,325
12,T2,A3,9,Kup,K09,T2-A3-K09,6/13/17,6/23/17,10,340,330
12,T2,A3,10,Kup,K10,T2-A3-K10,6/13/17,6/23/17,10,320,309
