"","tank_aq","Date","temp_C","minimum","maximum","n","v","se","na.rm"
"541","T3_A1",2017-06-30,15.546875,15.125,15.75,144,0.0181107954545455,0.0112146962900824,1
"542","T3_A1",2017-07-01,15.8793402777778,15.25,18,144,0.457476659625097,0.0563641840834808,1
"543","T3_A1",2017-07-02,16.0535714285714,15.75,16.5,7,0.145089285714286,0.143968888362474,1
"544","T3_A1",2017-07-03,15.609375,15.5,15.75,144,0.00368771853146853,0.0050605490283695,1
"545","T3_A1",2017-07-04,15.5520833333333,15.25,15.75,144,0.00863199300699301,0.0077423766300727,1
"546","T3_A1",2017-07-05,15.5842013888889,15.25,15.75,144,0.0119820500679876,0.00912187924869056,1
"547","T3_A1",2017-07-06,15.5685763888889,15.25,15.75,144,0.0135117703477078,0.00968667840519902,1
"548","T3_A1",2017-07-07,15.5529513888889,15.125,15.75,144,0.0263504941239316,0.0135273627336337,1
"549","T3_A1",2017-07-08,15.5138888888889,15.125,15.75,144,0.0284333721833722,0.0140518316776013,1
"550","T3_A1",2017-07-09,15.5763888888889,15.125,15.75,144,0.0253739316239316,0.0132743308117406,1
"551","T3_A1",2017-07-10,15.1015625,14.5,15.75,144,0.0773533107517483,0.023177052640691,1
"552","T3_A1",2017-07-11,14.7717013888889,13.75,16.875,144,0.723629777340715,0.0708886929424453,1
"553","T3_A1",2017-07-12,15.7300347222222,14.75,17.625,144,0.325975348436286,0.047578542405944,1
"554","T3_A1",2017-07-13,15.5581597222222,15.125,15.75,144,0.0323236875971251,0.0149823246780269,1
"555","T3_A1",2017-07-14,15.5190972222222,15.125,15.75,144,0.0380942841880342,0.0162647975761976,1
"556","T3_A1",2017-07-15,15.5026041666667,15,15.75,144,0.0540797093531469,0.0193792037291172,1
"557","T3_A1",2017-07-16,15.5989583333333,15,15.875,144,0.0327524038461538,0.0150813543467297,1
"558","T3_A1",2017-07-17,15.3823529411765,15,15.875,17,0.0829503676470588,0.0698529411764706,1
"559","T3_A1",2017-08-01,15.4696428571429,14.875,15.875,70,0.0735668995859213,0.0324184470382266,1
"560","T3_A1",2017-08-02,15.5251736111111,15.25,15.875,144,0.0191389556623932,0.0115286345384948,1
"561","T3_A1",2017-08-03,15.5564236111111,15.375,15.75,144,0.00673729482323232,0.0068400854969642,1
"562","T3_A1",2017-08-04,15.4513888888889,14.875,15.75,144,0.050723581973582,0.0187682470422457,1
"563","T3_A1",2017-08-05,15.46875,15,15.625,144,0.0381337412587413,0.0162732187237236,1
"564","T3_A1",2017-08-06,15.4505208333333,15,15.625,144,0.0256159855769231,0.0133374955943248,1
"565","T3_A1",2017-08-07,15.3940972222222,15,15.625,144,0.0304456827894328,0.0145405760788352,1
"566","T3_A1",2017-08-08,15.3602430555556,14.875,15.5,144,0.020868996454934,0.0120384212624661,1
"567","T3_A1",2017-08-09,15.3246527777778,15,15.5,144,0.0123075709013209,0.00924495767271457,1
"568","T3_A1",2017-08-10,15.3385416666667,15,15.5,144,0.0185478583916084,0.0113492102000072,1
"569","T3_A1",2017-08-11,15.2482638888889,14.875,15.375,144,0.00939381798756799,0.00807680921749974,1
"570","T3_A1",2017-08-12,15.4296875,15.125,15.625,144,0.0119577687937063,0.00911263195061695,1
"571","T3_A1",2017-08-13,15.4305555555556,14.875,15.5,144,0.00891122766122766,0.00786660825420919,1
"572","T3_A1",2017-08-14,15.5121527777778,15.25,15.875,144,0.0433390394327894,0.0173483587585856,1
"573","T3_A1",2017-08-15,15.7977528089888,15.625,15.875,89,0.00799205183861083,0.00947619835510476,1
"574","T3_A2",2017-05-19,15.6352739726027,15.5,15.75,146,0.005281648559282,0.00601462177227923,1
"575","T3_A2",2017-05-20,15.1684210526316,13,16.875,285,0.599395385470719,0.0458600229328991,1
"576","T3_A2",2017-05-21,16.4642857142857,15.375,19.375,140,0.38315775950668,0.052314827146168,1
"577","T3_A2",2017-05-22,15.6057692307692,15.375,15.75,13,0.0100160256410256,0.0277572244802705,1
"578","T3_A2",2017-05-23,15.5850694444444,14.625,15.875,144,0.120772023115773,0.0289602245324626,1
"579","T3_A2",2017-05-24,15.5798611111111,15.375,15.75,144,0.0167419386169386,0.0107825536222933,1
"580","T3_A2",2017-05-25,15.65625,15.5,15.875,144,0.00535402097902098,0.00609759798963504,1
"581","T3_A2",2017-05-26,15.791958041958,15,16,143,0.0138521249876884,0.00984215458661932,1
"582","T3_A2",2017-05-27,15.8671875,15.375,16.125,144,0.0376352163461538,0.0161664983552566,1
"583","T3_A2",2017-05-28,15.9157986111111,15.75,16.125,144,0.0165712109071484,0.0107274346197898,1
"584","T3_A2",2017-05-29,15.8166666666667,15.375,16.125,135,0.0559235074626866,0.0203530883019582,1
"585","T3_A2",2017-05-30,15.5104166666667,15.375,15.625,144,0.00360576923076923,0.00500400480640897,1
"586","T3_A2",2017-05-31,15.5590277777778,15.125,15.75,144,0.0152850621600622,0.0103027309486578,1
"587","T3_A2",2017-06-01,15.5859375,15.375,15.75,144,0.00993635270979021,0.00830677129657144,1
"588","T3_A2",2017-06-02,15.5581597222222,15,15.75,144,0.0242380232614608,0.0129738046070675,1
"589","T3_A2",2017-06-03,15.4965277777778,15,15.75,144,0.0316749222999223,0.014831208251316,1
"590","T3_A2",2017-06-04,15.4513888888889,15.25,15.625,144,0.0181623931623932,0.0112306602786478,1
"591","T3_A2",2017-06-05,15.4930555555556,15.25,15.75,144,0.0172154234654235,0.0109339632267179,1
"592","T3_A2",2017-06-06,15.5338541666667,15.375,15.625,144,0.00944465690559441,0.0080986353898505,1
"593","T3_A2",2017-06-07,15.5138888888889,15.125,15.625,144,0.0151029526029526,0.0102411725548534,1
"594","T3_A2",2017-06-08,15.5538194444444,15.25,15.75,144,0.0134730720668221,0.00967279693077665,1
"595","T3_A2",2017-06-09,15.5209923664122,14.875,15.75,131,0.0481136230182032,0.0191645392593835,1
"596","T3_A2",2017-06-10,15.6576086956522,15.625,15.75,46,0.00307971014492754,0.00818231144249001,1
"597","T3_A2",2017-06-17,15.375,15.375,15.375,24,0,0,1
"598","T3_A2",2017-06-18,15.4140625,14.875,15.75,144,0.0282929960664336,0.0140171016743916,1
"599","T3_A2",2017-06-19,15.1006944444444,13,16.125,144,0.94149426961927,0.0808588563494056,1
"600","T3_A2",2017-06-20,15.5694444444444,14.875,17.25,144,0.135878010878011,0.0307180288717223,1
"601","T3_A2",2017-06-21,17.8324652777778,15.375,20.75,144,2.27472971906566,0.125685059415104,1
"602","T3_A2",2017-06-22,15.4114583333333,14.5,17,144,0.134369536713287,0.0305470421273674,1
"603","T3_A2",2017-06-23,15.439606741573,14.875,17,89,0.21488365040858,0.0491367788758955,1
"604","T3_A2",2017-06-24,15.1440972222222,15,15.25,144,0.00749987859362859,0.00721681995296626,1
"605","T3_A2",2017-06-25,15.1944444444444,15,15.5,144,0.0296717171717172,0.0143545669203309,1
"606","T3_A2",2017-06-26,15.4262152777778,15.125,15.625,144,0.0125465896950272,0.00933429671182331,1
"607","T3_A2",2017-06-27,15.1970486111111,15,15.5,144,0.013020074543512,0.00950879510400475,1
"608","T3_A2",2017-06-28,15.3333333333333,14.875,16.125,144,0.0332167832167832,0.0151878933915177,1
"609","T3_A2",2017-06-29,15.4001736111111,15,15.75,144,0.0313767179001554,0.0147612287532791,1
"610","T3_A2",2017-06-30,15.3446180555556,14.875,15.5,144,0.0264961817696193,0.0135647064947614,1
"611","T3_A2",2017-07-01,15.7265625,15,18,144,0.551129534527972,0.0618650825120441,1
"612","T3_A2",2017-07-02,16.21875,16.125,16.375,8,0.0122767857142857,0.0391739481580005,1
"613","T3_A2",2017-07-03,16.0503472222222,15.875,16.125,144,0.00771841006216006,0.00732120685926245,1
"614","T3_A2",2017-07-04,15.9253472222222,15.5,16.125,144,0.0175523261460761,0.0110404326813851,1
