date,Treatment,fam.for.sorting,indiv.1to15,disposition,experiment,,checked.HG,,,
7/8/17,T1,WK5,5,live,growth,,,,,
7/8/17,T1,WO1,5,live,growth,,,,,
7/8/17,T1,WO2,5,live,growth,,,,,
7/8/17,T1,WO3,5,live,growth,,,,,
7/8/17,T1,WO4,5,live,growth,,,,,
7/8/17,T1,WO5,5,live,growth,,,,,
7/8/17,T1,WOZ1,5,live,growth,,,,,
7/8/17,T1,WOZ3,5,live,growth,,,,,
7/8/17,T1,WOZ4,10,live,growth,,,,,
7/8/17,T1,WOZ5,2,live,growth,,,,,
7/8/17,T2,K01,5,live,growth,,,,,
7/8/17,T2,K02,5,live,growth,,,,,
7/8/17,T2,K03,5,live,growth,,,,,
7/8/17,T2,K04,5,live,growth,,,,,
7/8/17,T2,K05,5,live,growth,,,,,
7/8/17,T2,K06,5,live,growth,,,,,
7/8/17,T2,K07,5,live,growth,,,,,
7/8/17,T2,K08,5,live,growth,,,,,
7/8/17,T2,K09,5,live,growth,,,,,
7/8/17,T2,K10,6,live,growth,,,,,
7/8/17,T2,K11,5,live,growth,,,,,
7/8/17,T2,K12,5,live,growth,,,,,
7/8/17,T2,K13,10,live,growth,,,,,
7/8/17,T2,K14,8,live,growth,,,,,
7/8/17,T2,K15,5,live,growth,,,,,
7/8/17,T2,K16,5,live,growth,,,,,
7/8/17,T2,O01,5,live,growth,,,,,
7/8/17,T2,O02,5,live,growth,,,,,
7/8/17,T2,O04,5,live,growth,,,,,
7/8/17,T2,O05,5,live,growth,,,,,
7/8/17,T2,O06,5,live,growth,,,,,
7/8/17,T2,WK1,4,live,growth,,,,,
7/8/17,T2,WK2,5,live,growth,,,,,
7/8/17,T2,WK3,5,live,growth,,,,,
7/8/17,T2,WK4,5,live,growth,,,,,
7/8/17,T2,WK5,5,live,growth,,,,,
7/8/17,T2,WO1,5,live,growth,,,,,
7/8/17,T2,WO2,5,live,growth,,,,,
7/8/17,T2,WO3,5,live,growth,,,,,
7/8/17,T2,WO4,5,live,growth,,,,,
7/8/17,T2,WO5,10,live,growth,,,,,
7/8/17,T2,WOZ1,5,live,growth,,,,,
7/8/17,T2,WOZ2,5,live,growth,,,,,
7/8/17,T2,WOZ3,5,live,growth,,,,,
7/8/17,T2,WOZ4,5,live,growth,,,,,
7/8/17,T2,WOZ5,3,live,growth,,,,,
7/8/17,T3,K02,4,live,growth,,,,,
7/8/17,T3,K04,6,live,growth,,,,,
7/8/17,T3,K05,5,live,growth,,,,,
7/8/17,T3,K07,22,live,growth,,,,,
7/8/17,T3,K08,5,live,growth,,,,,
7/8/17,T3,K16,7,live,growth,,,,,
7/8/17,T3,O01,5,live,growth,,,,,
7/8/17,T3,O02,7,live,growth,,,,,
7/8/17,T3,O06,5,live,growth,,,,,
7/8/17,T3,WK1,5,live,growth,,,,,
7/8/17,T3,WK2,5,live,growth,,,,,
7/8/17,T3,WK3,5,live,growth,,,,,
7/8/17,T3,WK4,5,live,growth,,,,,
7/8/17,T3,WK5,5,live,growth,,,,,
7/8/17,T3,WO1,7,live,growth,,,,,
7/8/17,T3,WO2,5,live,growth,,,,,
7/8/17,T3,WO3,5,live,growth,,,,,
7/8/17,T3,WO4,6,live,growth,,,,,
7/8/17,T3,WO5,5,live,growth,,,,,
7/8/17,T3,WOZ2,5,live,growth,,,,,
7/8/17,T3,WOZ3,5,live,growth,,,,,
7/8/17,T3,WOZ4,5,live,growth,,,,,
7/8/17,T3,WOZ5,4,live,growth,,,,,
7/9/17,T1,O01,5,ethanol,growth,,,,,
7/9/17,T1,O02,5,ethanol,growth,,,,,
7/9/17,T1,O04,4,ethanol,growth,,,,,
7/9/17,T1,O06,5,ethanol,yolksac,,,,,
7/13/17,T1,K01,10,ethanol,growth,,,,,
7/13/17,T1,K02,10,ethanol,growth,,,,,
7/13/17,T1,K03,10,ethanol,growth,,,,,
7/13/17,T1,K04,9,ethanol,growth,,,,,
7/13/17,T1,K05,10,ethanol,growth,,,,,
7/13/17,T1,K06,5,live,growth,,,,,
7/13/17,T1,K07,10,ethanol,growth,,,,,
7/13/17,T1,K08,10,ethanol,growth,,,,,
7/13/17,T1,K11,10,ethanol,growth,,,,,
7/13/17,T1,K12,10,ethanol,growth,,,,,
7/13/17,T1,K13,10,ethanol,growth,,,,,
7/13/17,T1,K14,10,ethanol,growth,,,,,
7/13/17,T1,K16,10,ethanol,growth,,,,,
7/13/17,T2,K01,10,ethanol,growth,,,,,
7/13/17,T2,K02,9,ethanol,growth,,,,,
7/13/17,T2,K03,10,ethanol,growth,,,,,
7/13/17,T2,K06,5,live,growth,,,,,
7/13/17,T2,K07,10,ethanol,growth,,,,,
7/13/17,T2,K08,10,ethanol,growth,,,,,
7/13/17,T2,K09,10,ethanol,growth,,,,,
7/13/17,T2,K10,9,ethanol,growth,,,,,
7/13/17,T2,K11,10,ethanol,growth,,,,,
7/13/17,T2,K12,10,ethanol,growth,,,,,
7/13/17,T2,K13,10,ethanol,growth,,,,,
7/13/17,T2,K14,10,ethanol,growth,,,,,
7/13/17,T2,K15,10,ethanol,growth,,,,,
7/13/17,T2,K16,10,ethanol,growth,,,,,
7/13/17,T3,K02,3,live,growth,,,,,
7/13/17,T3,K03,6,live,growth,,,,,
7/13/17,T3,K04,6,live,growth,,,,,
7/13/17,T3,K05,6,live,growth,,,,,
7/13/17,T3,K07,10,live,growth,,,,,
7/13/17,T3,K08,5,live,growth,,,,,
7/13/17,T3,K16,5,live,growth,,,,,
7/14/17,T1,O02,10,ethanol,growth,,,,,
7/14/17,T1,O04,10,ethanol,growth,,,,,
7/14/17,T1,O05,5,live,growth,,,,,
7/14/17,T1,O06,10,ethanol,growth,,,,,
7/14/17,T2,O01,9,ethanol,growth,,,,,
7/14/17,T2,O02,10,ethanol,growth,,,,,
7/14/17,T2,O04,5,live,growth,,,,,
7/14/17,T2,O05,6,live,growth,,,,,
7/14/17,T3,O01,5,live,growth,,,,,
7/14/17,T3,O02,5,live,growth,,,,,
7/14/17,T3,O06,5,live,growth,,,,,
7/14/17,T3,WO1,17,live,growth,,,,,
7/15/17,T3,WK1,5,live,growth,,,,,
7/18/17,T1,K01,10,ethanol,growth,,,,,
7/18/17,T1,K02,10,ethanol,growth,,,,,
7/18/17,T1,K03,10,ethanol,growth,,,,,
7/18/17,T1,K04,10,ethanol,growth,,,,,
7/18/17,T1,K05,10,ethanol,growth,,,,,
7/18/17,T1,K06,5,live,growth,,,,,
7/18/17,T1,K07,10,ethanol,growth,,,,,
7/18/17,T1,K08,5,ethanol,growth,,,,,
7/18/17,T1,K09,10,ethanol,growth,,,,,
7/18/17,T1,K10,10,ethanol,growth,,,,,
7/18/17,T1,K11,10,ethanol,growth,,,,,
7/18/17,T1,K12,9,live,growth,,,,,
7/18/17,T1,K13,10,ethanol,growth,,,,,
7/18/17,T1,K14,10,ethanol,growth,,,,,
7/18/17,T1,K15,10,ethanol,growth,,,,,
7/18/17,T1,K16,7,ethanol,growth,,,,,
7/18/17,T1,WK2,5,live,growth,,,,,
7/18/17,T1,WK3,5,live,growth,,,,,
7/18/17,T1,WK4,5,live,growth,,,,,
7/18/17,T1,WK5,5,live,growth,,,,,
7/18/17,T2,K04,5,live,growth,,,,,
7/18/17,T2,K06,4,live,growth,,,,,
7/18/17,T2,K07,5,ethanol,growth,,,,,
7/18/17,T2,K08,10,ethanol,growth,,,,,
7/18/17,T2,K10,5,dried.ethanol,growth,,,,,
7/18/17,T2,K11,5,ethanol,growth,,,,,
7/18/17,T2,K12,5,ethanol,growth,,,,,
7/18/17,T2,K13,5,ethanol,growth,,,,,
7/18/17,T2,K14,5,ethanol,growth,,,,,
7/18/17,T2,K15,5,ethanol,growth,,,,,
7/18/17,T2,K16,5,ethanol,growth,,,,,
7/18/17,T3,K02,1,live,growth,,,,,
7/18/17,T3,K05,5,live,growth,,,,,
7/18/17,T3,K07,5,live,growth,,,,,
7/18/17,T3,K16,6,live,growth,,,,,
7/19/17,T1,O01,10,ethanol,growth,,,,,
7/19/17,T1,O02,10,ethanol,growth,,,,,
7/19/17,T1,O04,12,ethanol,growth,,,,,
7/19/17,T1,O04,14,live,growth,,,,,
7/19/17,T1,O06,11,ethanol,growth,,,,,
7/19/17,T1,WO2,5,live,growth,,,,,
7/19/17,T1,WO3,5,live,growth,,,,,
7/19/17,T1,WO4,5,live,growth,,,,,
7/19/17,T1,WO5,5,live,growth,,,,,
7/19/17,T1,WOZ2,5,live,growth,,,,,
7/19/17,T1,WOZ3,5,live,growth,,,,,
7/19/17,T1,WOZ4,5,live,growth,,,,,
7/19/17,T1,WOZ5,2,live,growth,,,,,
7/19/17,T2,O01,5,ethanol,growth,,,,,
7/19/17,T2,O02,5,ethanol,growth,,,,,
7/19/17,T2,O04,5,ethanol,growth,,,,,
7/19/17,T2,O05,1,ethanol,growth,,,,,
7/19/17,T2,O05,5,live,growth,,,,,
7/19/17,T2,O06,10,ethanol,growth,,,,,
7/19/17,T3,O01,5,live,growth,,,,,
7/19/17,T3,O02,6,ethanol,growth,,,,,
7/19/17,T3,O06,1,ethanol,growth,,,,,
7/19/17,T3,O06,6,live,growth,,,,,
7/23/17,T1,K01,10,ethanol,growth,,,,,
7/23/17,T1,K02,10,ethanol,growth,,,,,
7/23/17,T1,K03,10,ethanol,growth,,,,,
7/23/17,T1,K04,10,ethanol,growth,,,,,
7/23/17,T1,K05,10,ethanol,growth,,,,,
7/23/17,T1,K06,5,live,growth,,,,,
7/23/17,T1,K07,10,ethanol,growth,,,,,
7/23/17,T1,K08,10,ethanol,growth,,,,,
7/23/17,T1,K09,10,ethanol,growth,,,,,
7/23/17,T1,K10,10,ethanol,growth,,,,,
7/23/17,T1,K11,10,ethanol,growth,,,,,
7/23/17,T1,K12,10,ethanol,growth,,,,,
7/23/17,T1,K13,10,ethanol,growth,,,,,
7/23/17,T1,K14,10,ethanol,growth,,,,,
7/23/17,T1,K15,10,ethanol,growth,,,,,
7/23/17,T1,K16,10,ethanol,growth,,,,,
7/23/17,T1,O01,10,ethanol,growth,,,,,
7/23/17,T1,O02,9,ethanol,growth,,,,,
7/23/17,T1,O04,5,ethanol,growth,,,,,
7/23/17,T1,O05,5,live,growth,,,,,
7/23/17,T1,O06,10,ethanol,growth,,,,,
7/23/17,T2,K01,5,ethanol,growth,,,,,
7/23/17,T2,K02,6,ethanol,growth,,,,,
7/23/17,T2,K03,5,ethanol,growth,,,,,
7/23/17,T2,K04,5,ethanol,growth,,,,,
7/23/17,T2,K05,5,ethanol,growth,,,,,
7/23/17,T2,K06,2,live,growth,,,,,
7/23/17,T2,K07,5,ethanol,growth,,,,,
7/23/17,T2,K09,5,ethanol,growth,,,,,
7/23/17,T2,K10,5,live,growth,,,,,
7/23/17,T2,K11,5,ethanol,growth,,,,,
7/23/17,T2,K12,5,live,growth,,,,,
7/23/17,T2,K13,5,ethanol,growth,,,,,
7/23/17,T2,K14,5,ethanol,growth,,,,,
7/23/17,T2,K15,5,ethanol,growth,,,,,
7/23/17,T2,K16,5,ethanol,growth,,,,,
7/23/17,T2,O01,1,ethanol,growth,,,,,
7/23/17,T2,O01,5,live,growth,,,,,
7/23/17,T2,O02,5,live,growth,,,,,
7/23/17,T2,O04,5,live,growth,,,,,
7/23/17,T2,O05,5,live,growth,,,,,
7/23/17,T2,O06,5,ethanol,growth,,,,,
7/23/17,T3,K02,1,live,growth,,,,,
7/23/17,T3,K04,4,live,growth,,,,,
7/23/17,T3,K05,5,live,growth,,,,,
7/23/17,T3,K07,2,live,growth,,,,,
7/23/17,T3,K08,1,live,growth,,,,,
7/23/17,T3,K16,5,live,growth,,,,,
7/23/17,T3,O01,2,live,growth,,,,,
7/23/17,T3,O06,5,live,growth,,,,,
8/6/17,T1,K01,2,live,respiration,,,,,
8/6/17,T1,K08,2,live,respiration,,,,,
8/6/17,T1,K09,1,live,respiration,,,,,
8/6/17,T1,K10,1,live,respiration,,,,,
8/6/17,T1,K12,3,live,respiration,,,,,
8/6/17,T1,K13,1,live,respiration,,,,,
8/6/17,T1,K16,1,live,respiration,,,,,
8/6/17,T1,O01,1,live,respiration,,,,,
8/6/17,T1,O02,1,live,respiration,,,,,
8/6/17,T1,O04,3,live,respiration,,,,,
8/6/17,T1,O05,2,live,respiration,,,,,
8/6/17,T1,O06,1,live,respiration,,,,,
8/6/17,T1,WO4,1,live,respiration,,,,,
8/6/17,T2,K08,1,live,respiration,,,,,
8/6/17,T2,O04,1,live,respiration,,,,,
8/7/17,T1,K01,3,live,respiration,,,,,
8/7/17,T1,K02,4,live,respiration,,,,,
8/7/17,T1,K08,4,live,respiration,,,,,
8/7/17,T1,K10,1,live,respiration,,,,,
8/7/17,T1,K12,4,live,respiration,,,,,
8/7/17,T1,K15,1,live,respiration,,,,,
8/7/17,T1,K16,2,live,respiration,,,,,
8/7/17,T1,O01,7,live,respiration,,,,,
8/7/17,T1,O02,7,live,respiration,,,,,
8/7/17,T1,O04,4,live,respiration,,,,,
8/7/17,T1,O05,5,live,respiration,,,,,
8/7/17,T1,O06,6,live,respiration,,,,,
8/7/17,T1,WK2,3,live,respiration,,,,,
