"","location","alt.dpf","Treatment","family","indiv.1to15","adj_Length"
"3277","Kup",25,"T3","K5",5,"17.18556"
"3278","Kup",30,"T3","K5",1,"19.48128"
"3279","Kup",30,"T3","K5",2,"17.99952"
"3280","Kup",30,"T3","K5",3,"20.04492"
"3281","Kup",30,"T3","K5",4,"17.6442"
"3282","Kup",30,"T3","K5",5,"20.46828"
"3283","Kup",30,"T3","K5",6,"18.00288"
"3284","Kup",35,"T3","K5",1,"24.17268"
"3285","Kup",35,"T3","K5",2,"26.80104"
"3286","Kup",35,"T3","K5",3,"24.01308"
"3287","Kup",35,"T3","K5",4,"22.743"
"3288","Kup",35,"T3","K5",5,"23.10336"
"3289","Kup",40,"T3","K5",1,"30.40884"
"3290","Kup",40,"T3","K5",2,"26.80104"
"3291","Kup",40,"T3","K5",3,"25.79892"
"3292","Kup",40,"T3","K5",4,"27.68136"
"3293","Kup",40,"T3","K5",5,"29.8536"
"3353","Kup",25,"T3","K7",1,"14.03556"
"3354","Kup",25,"T3","K7",1,"12.79656"
"3355","Kup",25,"T3","K7",2,"14.60592"
"3356","Kup",25,"T3","K7",2,"14.15904"
"3357","Kup",25,"T3","K7",3,"14.63532"
"3358","Kup",25,"T3","K7",3,"13.91628"
"3359","Kup",25,"T3","K7",4,"13.52988"
"3360","Kup",25,"T3","K7",4,"13.51308"
"3361","Kup",25,"T3","K7",5,"14.11536"
"3362","Kup",25,"T3","K7",5,"12.64536"
"3363","Kup",25,"T3","K7",6,"14.25396"
"3364","Kup",25,"T3","K7",6,"13.39128"
"3365","Kup",25,"T3","K7",7,"13.39968"
"3366","Kup",25,"T3","K7",7,"12.95112"
"3367","Kup",25,"T3","K7",8,"14.63196"
"3368","Kup",25,"T3","K7",8,"13.83228"
"3369","Kup",25,"T3","K7",9,"13.54752"
"3370","Kup",25,"T3","K7",9,"13.74324"
"3371","Kup",25,"T3","K7",10,"13.76256"
"3372","Kup",25,"T3","K7",10,"13.0914"
"3373","Kup",25,"T3","K7",11,"12.54624"
"3374","Kup",25,"T3","K7",12,"13.01748"
"3375","Kup",30,"T3","K7",1,"17.45856"
"3376","Kup",30,"T3","K7",2,"15.92556"
"3377","Kup",30,"T3","K7",3,"15.9516"
"3378","Kup",30,"T3","K7",4,"17.82144"
"3379","Kup",30,"T3","K7",5,"16.42536"
"3380","Kup",30,"T3","K7",6,"14.43792"
"3381","Kup",30,"T3","K7",7,"14.0238"
"3382","Kup",30,"T3","K7",8,"16.12548"
"3383","Kup",30,"T3","K7",9,"18.63204"
"3384","Kup",30,"T3","K7",10,"14.05488"
"3385","Kup",35,"T3","K7",1,"14.532"
"3386","Kup",35,"T3","K7",2,"14.8764"
"3387","Kup",35,"T3","K7",3,"21.2688"
"3388","Kup",35,"T3","K7",4,"16.0944"
"3389","Kup",35,"T3","K7",5,"17.598"
"3390","Kup",40,"T3","K7",1,"24.5364"
"3391","Kup",40,"T3","K7",2,"16.78824"
"3447","Kup",25,"T3","K8",1,"15.73236"
"3448","Kup",25,"T3","K8",2,"17.82816"
"3449","Kup",25,"T3","K8",3,"18.9084"
"3450","Kup",25,"T3","K8",4,"14.87388"
"3451","Kup",25,"T3","K8",5,"15.02088"
"3452","Kup",30,"T3","K8",1,"17.90208"
"3453","Kup",30,"T3","K8",2,"18.48084"
"3454","Kup",30,"T3","K8",3,"21.99036"
"3455","Kup",30,"T3","K8",4,"18.91176"
"3456","Kup",30,"T3","K8",5,"22.61532"
"3457","Kup",40,"T3","K8",1,"31.1892"
"3723","Sag",25,"T1","O1",1,"11.364"
"3724","Sag",25,"T1","O1",2,"11.23"
"3725","Sag",25,"T1","O1",3,"10.993"
"3726","Sag",25,"T1","O1",4,"11.072"
"3727","Sag",25,"T1","O1",5,"11.318"
"3728","Sag",35,"T1","O1",1,"14.156"
"3729","Sag",35,"T1","O1",2,"13.759"
"3730","Sag",35,"T1","O1",3,"14.348"
"3731","Sag",35,"T1","O1",4,"14.254"
"3732","Sag",35,"T1","O1",5,"14.799"
"3733","Sag",35,"T1","O1",6,"14.224"
"3734","Sag",35,"T1","O1",7,"13.868"
"3735","Sag",35,"T1","O1",8,"13.7"
"3736","Sag",35,"T1","O1",9,"13.773"
"3737","Sag",35,"T1","O1",10,"13.845"
"3738","Sag",39,"T1","O1",1,"14.824"
"3739","Sag",39,"T1","O1",2,"15.598"
"3740","Sag",39,"T1","O1",3,"15.721"
"3741","Sag",39,"T1","O1",4,"15.522"
"3742","Sag",39,"T1","O1",5,"15.228"
"3743","Sag",39,"T1","O1",6,"15.583"
"3744","Sag",39,"T1","O1",7,"16.977"
"3745","Sag",39,"T1","O1",8,"17.548"
"3746","Sag",39,"T1","O1",9,"17.967"
"3747","Sag",39,"T1","O1",10,"16.046"
"3806","Sag",25,"T1","O2",1,"11.471"
"3807","Sag",25,"T1","O2",2,"10.677"
"3808","Sag",25,"T1","O2",3,"10.591"
"3809","Sag",25,"T1","O2",4,"10.756"
"3810","Sag",25,"T1","O2",5,"11.387"
"3811","Sag",30,"T1","O2",1,"12.782"
"3812","Sag",30,"T1","O2",2,"13.835"
"3813","Sag",30,"T1","O2",3,"13.776"
"3814","Sag",30,"T1","O2",4,"13.758"
"3815","Sag",30,"T1","O2",5,"13.982"
"3816","Sag",30,"T1","O2",6,"12.923"
"3817","Sag",30,"T1","O2",7,"13.062"
"3818","Sag",30,"T1","O2",8,"13.184"
"3819","Sag",30,"T1","O2",9,"13.747"
"3820","Sag",30,"T1","O2",10,"13.228"
"3821","Sag",35,"T1","O2",1,"13.861"
"3822","Sag",35,"T1","O2",2,"13.799"
"3823","Sag",35,"T1","O2",3,"13.613"
"3824","Sag",35,"T1","O2",4,"13.613"
