Location,Family,reared_wild,TreatmentTank,CG.temp,Resp.temp,Run,Tank,Probe,DO_channel,back.slope,slope1,slope2,slope3,Vr.ml,Va.ml,length.mm,Ma.g,num_per_resp,Comments,,
Sagavanirktok,O4,reared,T1,8,16,8,1,2,2,-0.003116,-0.0107,-0.008133,-0.008701,202,0.133,,0.133,1,,,
Sagavanirktok,O6,reared,T1,8,16,8,1,3,3,-0.00287,-0.0022,-0.01715,-0.0187,199,0.279,,0.279,1,,,
Kuparuk,K8,reared,T2,12,8,8,2,4,1,-0.003747,-0.0117,-0.009663,-0.009927,200,0.189,,0.189,1,,,
Sagavanirktok,O2,reared,T2,12,8,8,2,6,2,-0.002845,-0.01426,-0.0112,-0.01177,204,0.236,,0.236,1,,,
Kuparuk,K2,reared,T1,8,16,8,3,7,1,-0.001789,-0.01475,-0.01122,-0.01137,204,0.183,,0.183,1,,,
Kuparuk,K8 ,reared,T1,8,16,8,3,8,2,-0.002554,-0.009791,-0.008813,-0.01044,204,0.133,,0.133,4,,,
Sagavanirktok,O2 ,reared,T1,8,16,8,3,9,3,-0.002763,-0.01063,-0.009163,-0.009239,203,0.106,,0.106,4,,,
Sagavanirktok,O6,reared,T2,12,8,8,4,10,1,-0.003671,-0.01015,-0.009443,-0.01007,202,0.172,,0.172,1,,,
Kuparuk,K5,reared,T2,12,8,8,4,11,2,-0.003105,-0.009604,-0.009912,-0.009282,203,0.183,,0.183,1,,,
Sagavanirktok,O2,reared,T2,12,8,8,4,12,3,-0.003257,-0.00881,-0.008917,-0.009909,204,0.235,,0.235,1,,,
Sagavanirktok,WO5,wild,T3,16,16,9,1,1,1,-0.001638,-0.01113,-0.0153,-0.009949,202,0.275,,0.275,1,,,
Kuparuk,WK1,wild,T3,16,16,9,1,2,2,-0.001984,-0.02028,-0.006954,-0.006709,202,0.534,,0.534,1,,,
Kuparuk,WK3,wild,T3,16,16,9,1,3,3,-0.000548,-0.01916,-0.001857,-0.002924,199,0.41,,0.41,1,,,
Kuparuk,WK3,wild,T1,8,8,9,2,4,1,-0.003942,-0.01157,-0.03745,-0.01357,200,0.204,,0.204,1,,,
Kuparuk,WK2,wild,T1,8,8,9,2,5,2,-0.002851,-0.004454,-0.01657,-0.006504,204,0.063,,0.063,1,,,
Kuparuk,WK5 ,wild,T1,8,8,9,2,6,3,-0.005303,-0.004247,-0.02741,-0.008354,204,0.117,,0.117,2,,,
Sagavanirktok,WO1,wild,T3,16,16,9,3,7,1,-0.001541,-0.01411,-0.01598,-0.004375,204,0.31,,0.31,1,,,
Sagavanirktok,WO3,wild,T3,16,16,9,3,8,2,-0.001435,-0.009548,-0.01521,-0.005347,204,0.367,,0.367,1,,,
Kuparuk,WK5,wild,T3,16,16,9,3,9,3,-0.001218,-0.02025,-0.006815,-0.00354,203,0.381,,0.381,1,,,
Sagavanirktok,WO1,wild,T1,8,8,9,4,10,1,-0.001352,-0.009507,-0.03256,-0.00484,202,0.176,,0.176,1,,,
Sagavanirktok,WO3,wild,T1,8,8,9,4,11,2,-0.001476,-0.005933,-0.02406,-0.005177,203,0.11,,0.11,1,,,
Sagavanirktok,WO5 ,wild,T1,8,8,9,4,12,3,-0.003991,-0.008273,-0.01594,-0.003961,204,0.67,,0.67,2,,,
Sagavanirktok,WO4,wild,T3,16,16,10,1,1,1,-0.0034885,-0.0165,-0.01852,-0.0165,202,0.297,,0.297,1,,,
Kuparuk,WK3,wild,T3,16,16,10,1,2,2,-0.00137955,-0.006263,-0.02035,-0.01629,202,0.507,,0.507,1,,,
Sagavanirktok,WO1,wild,T3,16,16,10,1,3,3,-0.0024975,-0.01682,-0.01348,-0.01546,199,0.377,,0.377,1,,,
Sagavanirktok,WO3 ,wild,T1,8,8,10,2,4,1,-0.002834,-0.003894,-0.001473,-0.009445,200,0.188,,0.188,2,,,
Kuparuk,WK3 ,wild,T1,8,8,10,2,5,2,-0.0009478,-0.003769,-0.004932,-0.01309,204,0.34,,0.34,2,,,
Sagavanirktok,WO2 ,wild,T1,8,8,10,2,6,3,-0.003461,-0.007857,-0.004182,-0.006648,204,0.23,,0.23,2,,,
Sagavanirktok,WO3,wild,T3,16,16,10,3,7,1,-0.002798,-0.00141,-0.002803,-0.01621,204,0.368,,0.368,1,,,
Kuparuk,WK5,wild,T3,16,16,10,3,8,2,-0.001962,-0.001412,-0.001379,-0.01543,204,0.511,,0.511,1,,,
Kuparuk,WK4,wild,T3,16,16,10,3,9,3,-0.003933,-0.006701,-0.02123,-0.003348,203,0.354,,0.354,1,,,
Kuparuk,WK4 ,wild,T1,8,8,10,4,10,1,0.0004164,-0.01223,-0.01042,-0.01237,202,0.155,,0.155,2,"positive backslope, checked 2023",,
Kuparuk,WK2 ,wild,T1,8,8,10,4,11,2,0.001255,-0.01254,-0.01077,-0.01216,203,0.2,,0.2,2,"positive backslope, checked 2023",,
Sagavanirktok,WO4 ,wild,T1,8,8,10,4,12,3,-0.001107,-0.01549,-0.01219,-0.0158,204,0.206,,0.206,2,,,
Sagavanirktok,WO1,wild,T2,12,12,11,1,1,1,-0.001203,-0.01198,-0.01127,-0.0141,202,0.231,,0.231,1,,,
Sagavanirktok,WO3,wild,T2,12,12,11,1,2,2,-0.0006862,-0.01988,-0.01423,-0.01324,202,0.273,,0.273,1,,,
